Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2013,177,Ben Bolling,Campbell,N,Pioneer,FCS,So.,WR,11,32,495,5
2015,38,Ben Braunecker,Harvard,N,Ivy League,FCS,Sr.,TE,10,48,850,8
2013,83,Ben Edwards,Richmond,N,CAA,FCS,Sr.,WR,9,74,706,5
2015,162,Ben McCord,Central Mich.,N,MAC,FBS,Sr.,TE,13,39,612,5
2020,59,Ben Ratzlaff,Houston Christian,N,Southland,FCS,Sr.,WR,4,29,399,3
2019,13,Ben Ratzlaff,Houston Christian,N,Southland,FCS,Jr.,WR,12,87,1139,12
2015,80,Ben Roberts,Montana,N,Big Sky,FCS,Sr.,WR,13,65,647,5
2023,117,Ben Sinnott,Kansas St.,Y,Big 12,FBS,Jr.,TE,12,49,676,6
2020,144,Ben Skowronek,Notre Dame,Y,ACC,FBS,Sr.,WR,11,29,439,5
2017,131,Ben Skowronek,Northwestern,Y,Big Ten,FBS,So.,OL,13,45,644,5
2019,138,Benjamin Waters,Air Force,N,Mountain West,FBS,Sr.,WR,13,22,658,7
2021,126,Benjamin Yurosek,Stanford,Y,Pac-12,FBS,So.,TE,11,43,658,3
2018,192,Bennett Skowronek,Northwestern,Y,Big Ten,FBS,Jr.,WR,14,45,562,3
2013,154,Bennie Fowler,Michigan St.,Y,Big Ten,FBS,Sr.,WR,13,36,622,6
2013,78,Bernard Reedy,Toledo,N,MAC,FBS,Sr.,WR,12,62,840,8
2015,181,Billy Freeman,San Jose St.,N,Mountain West,FBS,Jr.,TE,13,48,586,6
2013,272,Billy Freeman,San Jose St.,N,Mountain West,FBS,Fr.,TE,12,27,427,2
2021,97,Billy Kemp,Virginia,Y,ACC,FBS,Sr.,WR,12,74,725,6
2020,52,Billy Kemp,Virginia,Y,ACC,FBS,Jr.,WR,10,67,644,1
2013,337,Billy Ray Stutzmann,Hawaii,N,Mountain West,FBS,Sr.,WR,9,22,358,4
2016,108,Billy Reed,Southern Ill.,N,MVFC,FCS,Sr.,WR,11,45,580,4
2015,49,Billy Reed,Southern Ill.,N,MVFC,FCS,Jr.,WR,11,56,805,5
2021,2,BJ Byrd,Morehead St.,N,Pioneer,FCS,Sr.,WR,11,90,1313,13
2020,34,BJ Byrd,Morehead St.,N,Pioneer,FCS,Sr.,WR,7,31,467,8
2022,173,BJ Casteel,Nevada,N,Mountain West,FBS,Sr.,WR,12,48,581,4
2016,172,BJ Johnson III,Ga. Southern,N,Sun Belt,FBS,Sr.,WR,12,42,600,3
2016,48,Blair Roberts,Duquesne,N,NEC,FCS,Sr.,WR,10,47,782,8
2013,340,Blair Townsend,North Dakota,N,Big Sky,FCS,Sr.,WR,11,29,312,1
2017,98,Blaise Bell,Holy Cross,N,Patriot,FCS,Jr.,WR,11,46,601,8
2018,94,Blake Banham,Eastern Mich.,N,MAC,FBS,Sr.,RB,13,60,758,5
2013,392,Blake Gardner,Central Ark.,N,Southland,FCS,So.,WR,12,35,271,0
2023,120,Blake Haggerty,Northern Colo.,N,Big Sky,FCS,So.,WR,10,49,515,2
2017,149,Blake Mack,Arkansas St.,N,Sun Belt,FBS,Sr.,TE,12,48,618,7
2016,141,Blake Mack,Arkansas St.,N,Sun Belt,FBS,Jr.,TE,13,34,652,3
2020,80,Blake Proehl,East Carolina,N,AAC,FBS,Jr.,WR,9,47,577,4
2019,131,Blake Proehl,East Carolina,N,AAC,FBS,So.,WR,12,54,670,4
2023,81,Blayne Taylor,Abilene Christian,N,ASUN,FCS,Jr.,WR,11,41,620,7
2023,45,Bo Belquist,North Dakota,N,MVFC,FCS,Sr.,WR,12,66,772,6
2022,37,Bo Belquist,North Dakota,N,MVFC,FCS,Jr.,WR,12,63,811,6
2021,131,Bo Belquist,North Dakota,N,MVFC,FCS,So.,WR,10,52,535,5
2020,122,Bo Belquist,North Dakota,N,MVFC,FCS,Fr.,WR,6,25,255,3
2014,142,Bo Hines,NC State,Y,ACC,FBS,Fr.,WR,13,45,616,1
2021,150,Bo Melton,Rutgers,Y,Big Ten,FBS,Sr.,WR,11,55,618,3
2020,54,Bo Melton,Rutgers,Y,Big Ten,FBS,Sr.,WR,9,47,638,6
2013,241,Bo Patterson,Dartmouth,N,Ivy League,FCS,Jr.,WR,10,25,395,6
2017,61,Bob Pugh,Indiana St.,N,MVFC,FCS,Sr.,WR,11,28,722,3
2016,95,Bobby Chan-Chan,Northwestern St.,N,Southland,FCS,Jr.,WR,10,32,614,6
2013,323,Bobby Kaslander,Bucknell,N,Patriot,FCS,So.,DB,7,24,327,0
2021,167,Boogie Knight,ULM,N,Sun Belt,FBS,Sr.,WR,12,44,587,3
2018,114,Booker Chambers,Mississippi Val.,N,SWAC,FCS,Sr.,WR,11,46,576,4
2023,138,Brad Clark,Tennessee Tech,N,OVC,FCS,Sr.,WR,11,42,491,1
2014,198,Brad Harris,UAlbany,N,CAA,FCS,So.,WR,12,26,448,2
2023,184,Braden Smith,Cincinnati,Y,Big 12,FBS,Sr.,WR,12,43,557,4
2014,67,Bradley Marquez,Texas Tech,Y,Big 12,FBS,Sr.,WR,12,65,821,10
2013,149,Bradley Marquez,Texas Tech,Y,Big 12,FBS,Jr.,WR,13,49,633,6
2013,392,Bradley Miller,Texas St.,N,Sun Belt,FBS,Jr.,TE,12,24,311,0
2022,57,Bradley Rozner,Rice,N,CUSA,FBS,Sr.,WR,13,44,876,10
2019,91,Bradley Rozner,Rice,N,CUSA,FBS,Jr.,WR,12,55,770,5
2023,147,Braedon Sloan,Eastern Ky.,N,ASUN,FCS,Jr.,RB,11,41,474,3
2015,79,Bralon Addison,Oregon,Y,Pac-12,FBS,Jr.,WR,13,63,804,10
2013,67,Bralon Addison,Oregon,Y,Pac-12,FBS,So.,WR,13,61,890,7
2019,55,Branden Mack,Temple,N,AAC,FBS,Jr.,WR,13,59,904,7
2018,164,Branden Mack,Temple,N,AAC,FBS,So.,WR,13,44,601,5
2013,1,Brandin Cooks,Oregon St.,Y,Pac-12,FBS,Jr.,WR,13,128,1730,16
2016,77,Brandon Acker,Southeastern La.,N,Southland,FCS,Sr.,WR,11,32,687,7
2019,15,Brandon Aiyuk,Arizona St.,Y,Pac-12,FBS,Sr.,WR,12,65,1192,8
2019,26,Brandon Arconado,Washington St.,Y,Pac-12,FBS,Sr.,WR,11,78,1109,7
2021,62,Brandon Bowling,Utah St.,N,Mountain West,FBS,Sr.,WR,14,56,835,10
2020,112,Brandon Bowling,Arkansas St.,N,Sun Belt,FBS,Sr.,WR,11,39,507,7
2013,334,Brandon Braxton,Duke,Y,ACC,FBS,Sr.,WR,14,39,361,2
2013,324,Brandon Carter,TCU,Y,Big 12,FBS,Jr.,WR,11,31,370,0
2013,197,Brandon Coleman,Rutgers,N,AAC,FBS,Jr.,WR,13,34,538,4
2017,43,Brandon Cox,Central Ark.,N,Southland,FCS,Sr.,WR,12,43,816,6
2013,389,Brandon Felder,Penn St.,Y,Big Ten,FBS,Sr.,WR,11,28,312,3
2013,270,Brandon Flanagan,Howard,N,MEAC,FCS,Jr.,WR,11,42,368,2
2013,180,Brandon Hall,Lafayette,N,Patriot,FCS,Sr.,TE,11,29,489,1
2013,215,Brandon Hubert,South Dakota St.,N,MVFC,FCS,Sr.,WR,14,36,423,4
2021,182,Brandon Johnson,UCF,N,AAC,FBS,Sr.,WR,13,38,565,11
2013,384,Brandon Kensey,Ark.-Pine Bluff,N,SWAC,FCS,Sr.,WR,11,20,283,4
2021,162,Brandon Lewis,Air Force,N,Mountain West,FBS,Sr.,WR,13,20,600,3
2017,141,Brandon Norwood,Florida A&M,N,MEAC,FCS,Sr.,WR,11,49,500,3
2014,161,Brandon Norwood,Florida A&M,N,MEAC,FCS,Fr.,WR,12,36,516,1
2019,9,Brandon Polk,James Madison,N,CAA,FCS,Sr.,WR,16,74,1179,11
2023,5,Brandon Porter,UIW,N,Southland,FCS,Sr.,WR,10,67,1072,7
2022,112,Brandon Porter,UIW,N,Southland,FCS,Sr.,WR,11,37,601,6
2019,8,Brandon Porter,Northern Ariz.,N,Big Sky,FCS,So.,WR,12,85,1198,10
2017,185,Brandon Presley,UNLV,N,Mountain West,FBS,So.,WR,12,34,552,3
2016,68,Brandon Ravenel,James Madison,N,CAA,FCS,Sr.,WR,15,45,720,5
2015,73,Brandon Ravenel,James Madison,N,CAA,FCS,Jr.,WR,12,57,683,4
2014,148,Brandon Ravenel,James Madison,N,CAA,FCS,So.,WR,12,38,535,5
2013,340,Brandon Ravenel,James Madison,N,CAA,FCS,Fr.,WR,12,20,312,1
2015,93,Brandon Reilly,Nebraska,Y,Big Ten,FBS,Jr.,WR,13,40,754,4
2020,116,Brandon Sanders,Bucknell,N,Patriot,FCS,Jr.,WR,4,23,264,2
2018,147,Brandon Sanders,Bucknell,N,Patriot,FCS,Fr.,WR,10,44,516,0
2021,140,Brandon Schenks,Southern Utah,N,Big Sky,FCS,So.,WR,11,39,516,6
2020,82,Brandon Schenks,Southern Utah,N,Big Sky,FCS,So.,WR,6,15,316,6
2014,91,Brandon Sheperd,Oklahoma St.,Y,Big 12,FBS,Jr.,WR,13,39,737,5
2014,55,Brandon White,San Diego,N,Pioneer,FCS,Sr.,WR,12,57,828,9
2013,128,Brandon White,San Diego,N,Pioneer,FCS,Jr.,WR,11,47,590,12
2013,46,Brandon Wimberly,Nevada,N,Mountain West,FBS,Sr.,WR,12,97,989,8
2017,44,Brandt Van Roekel,South Dakota,N,MVFC,FCS,Sr.,WR,11,51,806,8
2015,123,Brandt Van Roekel,South Dakota,N,MVFC,FCS,So.,WR,10,33,518,6
2019,131,Bransen Schwebel,Southeastern La.,N,Southland,FCS,Sr.,TE,13,50,609,4
2021,155,Brant Kuithe,Utah,Y,Pac-12,FBS,Jr.,TE,14,50,611,6
2019,171,Brant Kuithe,Utah,Y,Pac-12,FBS,So.,TE,14,34,602,6
2017,116,Braxton Berrios,Miami (FL),Y,ACC,FBS,Sr.,WR,13,55,679,9
2013,166,Braxton Deaver,Duke,Y,ACC,FBS,Jr.,TE,14,46,600,4
2022,184,Braydon Johnson,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,10,32,566,3
2021,191,Braylon Sanders,Ole Miss,Y,SEC,FBS,Sr.,WR,12,24,549,4
2020,195,Braylon Sanders,Ole Miss,Y,SEC,FBS,Sr.,WR,10,15,376,4
2013,89,Brelan Chancellor,North Texas,N,CUSA,FBS,Sr.,WR,13,53,792,4
2016,94,Brendan Flaherty,Holy Cross,N,Patriot,FCS,Sr.,WR,10,59,621,4
2015,11,Brendan Flaherty,Holy Cross,N,Patriot,FCS,Jr.,WR,11,106,1082,12
2017,149,Brendan O'Leary-Orange,Nevada,N,Mountain West,FBS,So.,WR,11,39,618,4
2013,23,Brendan Shannon,Butler,N,Pioneer,FCS,Sr.,WR,11,76,1041,6
2023,76,Brenden Rice,Southern California,Y,Pac-12,FBS,Sr.,WR,12,45,791,12
2022,156,Brenden Rice,Southern California,Y,Pac-12,FBS,Jr.,WR,14,39,611,4
2020,129,Brennan Eagles,Texas,Y,Big 12,FBS,Jr.,WR,9,28,469,5
2023,34,Brennan Presley,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,14,101,991,6
2022,77,Brennan Presley,Oklahoma St.,Y,Big 12,FBS,Jr.,WR,13,67,813,2
2021,149,Brennan Presley,Oklahoma St.,Y,Big 12,FBS,So.,WR,14,50,619,5
2014,27,Breshad Perriman,UCF,N,AAC,FBS,Jr.,WR,13,50,1044,9
2013,84,Breshad Perriman,UCF,N,AAC,FBS,So.,WR,12,39,811,4
2022,134,Brett Landis,Marist,N,Pioneer,FCS,So.,WR,11,40,531,0
2014,188,Brett LeMaster,UNI,N,MVFC,FCS,Sr.,WR,14,38,473,3
2023,4,Brevin Easton,UAlbany,N,CAA,FCS,Sr.,WR,15,57,1086,13
2020,81,Brevin Jordan,Miami (FL),Y,ACC,FBS,Jr.,TE,8,38,576,7
2016,2,Brian Brown,Richmond,N,CAA,FCS,Sr.,WR,14,81,1485,11
2015,3,Brian Brown,Richmond,N,CAA,FCS,Jr.,WR,13,76,1450,6
2014,16,Brian Brown,Richmond,N,CAA,FCS,So.,WR,14,79,1089,4
2016,80,Brian Burnett,Jacksonville,N,Pioneer,FCS,Jr.,WR,10,34,675,5
2022,45,Brian Cobbs,Utah St.,N,Mountain West,FBS,Sr.,WR,13,76,923,5
2013,218,Brian Dowling,Towson,N,CAA,FCS,Fr.,WR,16,32,419,1
2013,152,Brian Flotkoetter,Montana St.,N,Big Sky,FCS,Jr.,WR,11,36,530,3
2014,169,Brian Parker,UAlbany,N,CAA,FCS,Sr.,OL,12,39,500,5
2013,284,Brian Parker,UAlbany,N,CAA,FCS,Jr.,OL,11,30,355,2
2016,22,Brian Riley,San Diego,N,Pioneer,FCS,Sr.,WR,12,54,986,7
2015,53,Brian Riley,San Diego,N,Pioneer,FCS,Jr.,WR,11,44,782,8
2015,109,Brian Strachan,Brown,N,Ivy League,FCS,Sr.,WR,10,61,564,2
2014,95,Brian Strachan,Brown,N,Ivy League,FCS,Sr.,RB,10,56,668,7
2013,337,Brian Strachan,Brown,N,Ivy League,FCS,Jr.,WR,10,33,315,1
2023,12,Brian Thomas Jr.,LSU,Y,SEC,FBS,Jr.,WR,13,68,1177,17
2014,7,Brian Wetzel,Fordham,N,Patriot,FCS,Sr.,WR,14,89,1247,11
2013,17,Brian Wetzel,Fordham,N,Patriot,FCS,Jr.,WR,14,89,1088,14
2017,141,Brian Williams,ULM,N,Sun Belt,FBS,Sr.,WR,12,45,626,4
2018,138,Briley Moore,UNI,N,MVFC,FCS,Jr.,TE,12,39,536,4
2017,146,Briley Moore,UNI,N,MVFC,FCS,So.,TE,13,38,494,0
2018,147,Britain Covey,Utah,Y,Pac-12,FBS,So.,WR,13,60,637,1
2013,155,Broc Malcom,Idaho St.,N,Big Sky,FCS,Fr.,WR,11,51,524,2
2023,99,Brock Bowers,Georgia,Y,SEC,FBS,Jr.,TE,10,56,714,6
2022,39,Brock Bowers,Georgia,Y,SEC,FBS,So.,TE,15,63,942,7
2021,55,Brock Bowers,Georgia,Y,SEC,FBS,Fr.,TE,15,56,882,13
2015,58,Brock McCoin,Tennessee Tech,N,OVC,FCS,So.,WR,11,61,747,4
2014,160,Brock McCoin,Tennessee Tech,N,OVC,FCS,So.,QB,12,43,517,2
2022,125,Bru McCoy,Tennessee,Y,SEC,FBS,Jr.,WR,12,52,667,4
2013,96,Bruce Ellington,South Carolina,Y,SEC,FBS,Jr.,WR,13,49,775,8
2015,55,Bruce Mapp,Coastal Carolina,N,Big South,FCS,Jr.,WR,12,50,769,7
2014,29,Bruce Mapp,Coastal Carolina,N,Big South,FCS,So.,WR,14,72,965,6
2013,379,Bruce Mapp,Coastal Carolina,N,Big South,FCS,Fr.,WR,15,20,287,1
2013,302,Bruce Natson,Utah St.,N,Mountain West,FBS,So.,WR,14,59,395,2
2019,79,Bryan Edwards,South Carolina,Y,SEC,FBS,Sr.,WR,10,71,816,6
2018,69,Bryan Edwards,South Carolina,Y,SEC,FBS,Jr.,WR,13,55,846,7
2017,73,Bryan Edwards,South Carolina,Y,SEC,FBS,So.,WR,13,64,793,5
2016,178,Bryan Edwards,South Carolina,Y,SEC,FBS,Fr.,WR,12,44,590,4
2013,128,Bryan Holmes,Troy,N,Sun Belt,FBS,So.,WR,12,40,676,7
2013,318,Bryan Underwood,NC State,Y,ACC,FBS,Jr.,WR,7,32,382,1
2013,331,Bryant Mitchell,Northwestern St.,N,Southland,FCS,So.,RB,12,33,320,2
2017,109,Bryce Bobo,Colorado,Y,Pac-12,FBS,Sr.,WR,12,62,693,5
2016,200,Bryce Bobo,Colorado,Y,Pac-12,FBS,Jr.,WR,13,44,548,2
2022,121,Bryce Ford-Wheaton,West Virginia,Y,Big 12,FBS,Jr.,WR,12,62,675,7
2021,176,Bryce Ford-Wheaton,West Virginia,Y,Big 12,FBS,Jr.,WR,12,42,575,3
2020,165,Bryce Ford-Wheaton,West Virginia,Y,Big 12,FBS,So.,WR,9,27,416,3
2023,106,Bryce Kirtz,Northwestern,Y,Big Ten,FBS,Sr.,WR,12,49,701,5
2019,125,Bryce Mitchell,Toledo,N,MAC,FBS,Jr.,WR,12,35,679,4
2019,69,Bryce Nunnelly,Chattanooga,N,SoCon,FCS,Jr.,WR,12,57,794,5
2018,8,Bryce Nunnelly,Chattanooga,N,SoCon,FCS,So.,WR,11,79,1237,7
2023,13,Bryce Oliver,Youngstown St.,N,MVFC,FCS,Sr.,WR,13,64,978,8
2022,35,Bryce Oliver,Youngstown St.,N,MVFC,FCS,Sr.,WR,11,59,821,10
2021,60,Bryce Singleton,FIU,N,CUSA,FBS,Jr.,WR,11,46,840,3
2015,45,Bryce Treggs,California,Y,Pac-12,FBS,Sr.,WR,13,45,956,7
2014,161,Bryce Treggs,California,Y,Pac-12,FBS,Jr.,WR,12,52,583,6
2013,103,Bryce Treggs,California,Y,Pac-12,FBS,So.,WR,12,77,751,1
2015,180,Bryce Williams,East Carolina,N,AAC,FBS,Sr.,TE,12,58,588,4
2019,75,Brycen Hopkins,Purdue,Y,Big Ten,FBS,Sr.,TE,12,61,830,7
2018,173,Brycen Hopkins,Purdue,Y,Big Ten,FBS,Jr.,TE,13,34,583,2
2022,57,Bryson Canty,Columbia,N,Ivy League,FCS,So.,WR,10,53,733,6
2022,41,Bryson Daughtry,Elon,N,CAA,FCS,Sr.,WR,12,43,796,6
2021,146,Bryson Daughtry,Elon,N,CAA,FCS,Jr.,WR,11,35,512,5
2022,170,Bryson Green,Oklahoma St.,Y,Big 12,FBS,So.,WR,11,36,584,5
2023,164,Bryson Nesbit,North Carolina,Y,ACC,FBS,Jr.,TE,12,41,585,5
2023,95,Bub Means,Pittsburgh,Y,ACC,FBS,Sr.,WR,12,41,721,6
2016,128,Bucky Hodges,Virginia Tech,Y,ACC,FBS,Jr.,TE,14,48,691,7
2014,199,Bucky Hodges,Virginia Tech,Y,ACC,FBS,Fr.,TE,13,45,526,7
2014,35,Bud Sasser,Missouri,Y,SEC,FBS,Sr.,WR,14,77,1003,12
2013,334,Bud Sasser,Missouri,Y,SEC,FBS,Jr.,WR,14,26,361,1
2016,74,Bug Howard,North Carolina,Y,ACC,FBS,Sr.,WR,13,53,827,8
2018,117,Byron Barney,Hampton,N,FCS Independent,FCS,Sr.,WR,10,36,574,9
2017,63,Byron Barney,Sacred Heart,N,NEC,FCS,Sr.,WR,9,55,709,4
2014,35,Byron Marshall,Oregon,Y,Pac-12,FBS,Jr.,RB,15,74,1003,6
2017,93,Byron Pringle,Kansas St.,Y,Big 12,FBS,Jr.,WR,12,30,724,6
2016,155,Byron Pringle,Kansas St.,Y,Big 12,FBS,So.,WR,13,39,631,4
2015,179,C. J. Best,Texas St.,N,Sun Belt,FBS,Sr.,WR,12,58,591,1
2016,67,C.J Board,Chattanooga,N,SoCon,FCS,Sr.,WR,13,46,725,5
2015,101,C.J Board,Chattanooga,N,SoCon,FCS,Jr.,WR,13,42,587,3
2014,165,C.J Board,Chattanooga,N,SoCon,FCS,So.,WR,14,35,507,2
2016,45,C.J. Bates,Nicholls,N,Southland,FCS,Sr.,WR,11,54,821,9
2013,274,C.J. Crawford,Charlotte,N,FCS Independent,FCS,Sr.,TE,11,31,364,6
2022,30,C.J. Johnson,East Carolina,N,AAC,FBS,Jr.,WR,13,67,1016,10
2020,175,C.J. Johnson,East Carolina,N,AAC,FBS,So.,WR,9,19,405,6
2019,52,C.J. Johnson,East Carolina,N,AAC,FBS,Fr.,WR,12,54,908,4
2019,7,Cade Johnson,South Dakota St.,N,MVFC,FCS,Jr.,WR,13,72,1222,8
2018,5,Cade Johnson,South Dakota St.,N,MVFC,FCS,So.,WR,13,67,1332,17
2023,167,Cade Stover,Ohio St.,Y,Big Ten,FBS,Sr.,TE,12,41,576,5
2022,163,Caden Prieskorn,Memphis,N,AAC,FBS,Jr.,TE,13,48,602,7
2023,73,Caleb Chapman,UIW,N,Southland,FCS,Sr.,WR,10,38,656,7
2013,335,Caleb Davis,South Carolina St.,N,MEAC,FCS,Sr.,WR,13,32,316,4
2023,190,Caleb Medford,New Mexico,N,Mountain West,FBS,So.,WR,12,30,551,2
2013,357,Caleb Smith,Oregon St.,Y,Pac-12,FBS,So.,TE,12,25,343,4
2021,95,Caleb Smith,Towson,N,CAA,FCS,Sr.,WR,11,52,614,5
2019,148,Caleb Smith,Towson,N,CAA,FCS,Jr.,WR,10,35,570,1
2021,13,Caleb Snead,Campbell,N,Big South,FCS,Sr.,WR,11,73,1067,10
2018,42,Caleb Snead,Campbell,N,Big South,FCS,Fr.,WR,11,45,810,9
2020,105,Caleb Vander Esch,South Dakota,N,MVFC,FCS,Sr.,WR,4,23,274,1
2019,109,Caleb Vander Esch,South Dakota,N,MVFC,FCS,Jr.,WR,12,45,651,6
2018,45,Caleb Wilson,UCLA,Y,Pac-12,FBS,Jr.,TE,12,60,965,4
2015,96,Callen Hightower,Idaho,N,Sun Belt,FBS,Jr.,WR,11,57,749,2
2021,20,Calvin Austin,Memphis,N,AAC,FBS,Sr.,WR,12,74,1149,8
2020,8,Calvin Austin,Memphis,N,AAC,FBS,Jr.,WR,11,63,1053,11
2021,41,Calvin Jackson Jr.,Washington St.,Y,Pac-12,FBS,Sr.,WR,13,66,987,7
2021,84,Calvin Jones,Western Caro.,N,SoCon,FCS,Fr.,WR,11,37,636,4
2017,35,Calvin Ridley,Alabama,Y,SEC,FBS,Jr.,WR,14,63,967,5
2016,94,Calvin Ridley,Alabama,Y,SEC,FBS,So.,WR,15,72,769,7
2015,33,Calvin Ridley,Alabama,Y,SEC,FBS,Fr.,WR,15,89,1045,7
2021,58,Calvin Turner Jr,Hawaii,N,Mountain West,FBS,Sr.,RB,13,73,876,4
2020,87,Calvin Turner Jr,Hawaii,N,Mountain West,FBS,Sr.,RB,9,33,546,6
2022,183,Cam Camper,Indiana,Y,Big Ten,FBS,Jr.,WR,7,46,569,2
2023,86,Cam Grandy,Illinois St.,N,MVFC,FCS,Sr.,TE,11,63,612,3
2023,98,Cam Johnson,Northwestern,Y,Big Ten,FBS,Sr.,WR,13,54,715,6
2020,88,Cam Johnson,Vanderbilt,Y,SEC,FBS,Jr.,WR,9,56,545,3
2013,337,Cam Jones,South Dakota St.,N,MVFC,FCS,So.,TE,7,18,315,1
2017,36,Cam Phillips,Virginia Tech,Y,ACC,FBS,Sr.,WR,12,71,964,7
2016,39,Cam Phillips,Virginia Tech,Y,ACC,FBS,Jr.,WR,14,76,983,5
2015,184,Cam Phillips,Virginia Tech,Y,ACC,FBS,So.,WR,13,49,582,2
2017,181,Cam Serigne,Wake Forest,Y,ACC,FBS,Sr.,TE,13,44,556,9
2014,194,Cam Serigne,Wake Forest,Y,ACC,FBS,So.,TE,12,54,531,5
2013,165,Cam Warren,Montana,N,Big Sky,FCS,Sr.,WR,13,38,513,3
2014,34,Cam Worthy,East Carolina,N,AAC,FBS,Sr.,WR,11,55,1016,4
2020,39,Cam Wyche,Tennessee St.,N,OVC,FCS,Jr.,WR,7,22,456,2
2016,148,Cameron Batson,Texas Tech,Y,Big 12,FBS,Jr.,WR,12,60,644,8
2013,231,Cameron Brate,Harvard,N,Ivy League,FCS,Sr.,TE,8,25,403,5
2021,50,Cameron Crayton,Georgetown,N,Patriot,FCS,Sr.,WR,10,45,756,4
2019,173,Cameron Dollar,Charlotte,N,CUSA,FBS,So.,WR,13,41,599,2
2015,128,Cameron Livingston,Weber St.,N,Big Sky,FCS,Jr.,WR,11,38,509,2
2014,52,Cameron Livingston,Weber St.,N,Big Sky,FCS,So.,WR,12,57,856,1
2013,301,Cameron Livingston,Weber St.,N,Big Sky,FCS,Fr.,WR,12,26,344,4
2014,18,Cameron Meredith,Illinois St.,N,MVFC,FCS,Sr.,WR,15,66,1061,9
2013,267,Cameron Meredith,Illinois St.,N,MVFC,FCS,Jr.,WR,10,21,370,5
2013,108,Cameron Richmond,Idaho St.,N,Big Sky,FCS,Sr.,WR,12,56,645,6
2023,187,Cameron Ross,UConn,N,FBS Independent,FBS,Jr.,WR,12,44,552,1
2019,108,Cameron Ross,UConn,N,AAC,FBS,Fr.,WR,11,60,723,4
2014,152,Cameron Smith,Arizona St.,Y,Pac-12,FBS,So.,WR,11,41,596,6
2023,123,Cameron Young,Alabama A&M,N,SWAC,FCS,Sr.,WR,11,53,511,5
2015,90,Canaan Severin,Virginia,Y,ACC,FBS,Sr.,WR,12,54,759,8
2014,167,Canaan Severin,Virginia,Y,ACC,FBS,Jr.,WR,12,42,578,5
2013,280,Cantrell Frazier,Savannah St.,N,MEAC,FCS,So.,WR,12,27,360,1
2013,359,Carey Fortson,Nicholls,N,Southland,FCS,Sr.,WR,12,23,302,2
2015,103,Carlos Harris,North Texas,N,CUSA,FBS,Sr.,WR,12,61,727,7
2014,57,Carlos Harris,North Texas,N,CUSA,FBS,Jr.,WR,12,70,863,3
2013,186,Carlos Harris,North Texas,N,CUSA,FBS,So.,WR,13,47,553,2
2016,5,Carlos Henderson,Louisiana Tech,N,CUSA,FBS,Jr.,WR,13,82,1535,19
2015,85,Carlos Henderson,Louisiana Tech,N,CUSA,FBS,So.,WR,11,36,774,5
2014,172,Carlos Henderson,Louisiana Tech,N,CUSA,FBS,Fr.,WR,12,29,569,4
2023,62,Carlos Hill,Sacramento St.,N,Big Sky,FCS,Sr.,WR,13,51,692,5
2013,387,Carlton Koonce,Fordham,N,Patriot,FCS,Sr.,RB,14,41,282,2
2016,149,Carrington Thompson,Western Mich.,N,MAC,FBS,Sr.,WR,14,42,637,6
2020,104,Carson Crawford,UC Davis,N,Big Sky,FCS,Jr.,WR,5,24,276,3
2023,19,Carter Bell,South Dakota,N,MVFC,FCS,Sr.,WR,13,52,908,5
2021,75,Carter Bell,South Dakota,N,MVFC,FCS,So.,WR,12,41,673,5
2020,117,Carter Bell,South Dakota,N,MVFC,FCS,Fr.,WR,4,17,263,2
2023,106,Carter Runyon,Towson,N,CAA,FCS,Jr.,TE,11,43,549,4
2020,167,Cary Angeline,NC State,Y,ACC,FBS,Sr.,TE,12,27,412,6
2015,49,Casey Martin,Southern Miss.,N,CUSA,FBS,Sr.,WR,14,80,925,7
2014,194,Casey Martin,Southern Miss.,N,CUSA,FBS,Jr.,WR,11,55,531,2
2014,130,Casey Pierce,Kent St.,N,MAC,FBS,Sr.,TE,11,60,641,6
2013,329,Casey Pierce,Kent St.,N,MAC,FBS,Jr.,TE,12,33,364,5
2023,119,Casey Washington,Illinois,Y,Big Ten,FBS,Sr.,WR,12,49,670,4
2023,7,Caullin Lacy,South Alabama,N,Sun Belt,FBS,Jr.,WR,12,91,1316,7
2022,78,Caullin Lacy,South Alabama,N,Sun Belt,FBS,So.,WR,13,64,812,6
2021,51,Cayden Jordan,Charleston So.,N,Big South,FCS,Jr.,WR,10,53,752,1
2020,105,Cayden Jordan,Charleston So.,N,Big South,FCS,So.,WR,4,15,274,4
2015,56,Cayleb Jones,Arizona,Y,Pac-12,FBS,Jr.,WR,13,55,904,5
2014,32,Cayleb Jones,Arizona,Y,Pac-12,FBS,So.,WR,14,73,1019,9
2022,132,Caylin Newton,William & Mary,N,CAA,FCS,Sr.,WR,13,37,537,3
2015,63,Caylon Weathers,UT Martin,N,OVC,FCS,So.,WR,11,62,726,8
2019,27,Cedric Byrd,Hawaii,N,Mountain West,FBS,Sr.,WR,15,98,1097,10
2018,44,Cedric Byrd,Hawaii,N,Mountain West,FBS,Jr.,WR,14,79,970,9
2021,168,Cedric Patterson III,Rice,N,CUSA,FBS,Sr.,WR,12,38,583,6
2021,29,Cedric Tillman,Tennessee,Y,SEC,FBS,Jr.,WR,13,64,1081,12
